mode,workers,sync,time,final_counter
threads,2,0,0.829964,501786856
threads,2,1,66.537182,1000000000
processes,2,0,0.891437,502515113
processes,2,1,221.342778,1000000000
threads,4,0,0.596627,266905048
threads,4,1,92.847369,1000000000
processes,4,0,0.582560,265018899
processes,4,1,279.629453,1000000000
threads,8,0,0.946887,259630143
threads,8,1,113.202049,1000000000
processes,8,0,1.058169,258509813
processes,8,1,356.094361,1000000000
