mode,workers,sync,time,final_counter
threads,2,0,2.947353,771298276
threads,2,1,24.171241,1000000000
processes,2,0,0.964924,902698069
processes,2,1,29.280906,1000000000
threads,4,0,2.735374,792622482
threads,4,1,29.416343,1000000000
processes,4,0,1.320675,853338391
processes,4,1,49.376181,1000000000
threads,8,0,2.970798,712889150
threads,8,1,29.833198,1000000000
processes,8,0,1.448493,824435377
processes,8,1,100.905448,1000000000
