mode,workers,sync,time,final_counter
threads,2,0,1.166240,540894044
threads,2,1,62.090971,1000000000
processes,2,0,1.552053,583439198
processes,2,1,162.298910,1000000000
threads,4,0,0.762275,329749789
threads,4,1,69.874842,1000000000
processes,4,0,0.726528,313336578
processes,4,1,268.549694,1000000000
threads,8,0,0.675657,272181407
threads,8,1,79.876816,1000000000
processes,8,0,0.668352,258657047
processes,8,1,345.129807,1000000000
